sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
HGLibA_16660_r1	FAM63A	31074	37271	31074	37271	0.26234	1.9202e+07	4.9123e+06	2.7961	0.99741	0.0025863	0.0051725	0.024127	True
HGLibA_41388_r2	RNASE1	76192	88258	76192	88258	0.2121	7.2802e+07	1.8631e+07	2.7956	0.99741	0.0025905	0.0051809	0.024127	True
HGLibB_19466_r2	GNB2L1	47066	38640	47066	38640	-0.28457	3.5496e+07	9.104e+06	2.7925	0.0026153	0.99738	0.0052305	0.024307	False
HGLibA_49412_r0	THTPA	1.7955e+05	2.0233e+05	1.7955e+05	2.0233e+05	0.17229	2.5937e+08	6.6666e+07	2.7895	0.99736	0.0026396	0.0052792	0.024482	True
HGLibA_29437_r0	MLX	19018	23302	19018	23302	0.29308	9.177e+06	2.369e+06	2.7834	0.99731	0.0026893	0.0053787	0.024892	True
HGLibA_15504_r0	ERMARD	90145	1.0375e+05	90145	1.0375e+05	0.20273	9.2494e+07	2.3924e+07	2.7807	0.99729	0.002712	0.005424	0.02505	True
HGLibB_25142_r2	KLHL3	1.2252e+05	1.3959e+05	1.2252e+05	1.3959e+05	0.18824	1.4578e+08	3.7756e+07	2.7789	0.99727	0.0027276	0.0054551	0.025136	True
HGLibB_33786_r1	OR2L8	1.4665e+05	1.6617e+05	1.4665e+05	1.6617e+05	0.18023	1.904e+08	4.9335e+07	2.7782	0.99727	0.0027327	0.0054654	0.025136	True
HGLibA_23586_r2	IRF3	60443	50385	60443	50385	-0.26258	5.0585e+07	1.3205e+07	2.768	0.0028202	0.99718	0.0056405	0.025888	False
HGLibB_41047_r0	RGS5	30254	24242	30254	24242	-0.31961	1.8072e+07	4.7209e+06	2.767	0.0028289	0.99717	0.0056578	0.025914	False
HGLibB_47006_r1	SRSF10	50057	41326	50057	41326	-0.27652	3.8117e+07	9.9773e+06	2.7642	0.0028532	0.99715	0.0057063	0.026083	False
HGLibB_48356_r0	TAS2R46	10212	7537.6	10212	7537.6	-0.43809	3.5772e+06	9.4135e+05	2.7569	0.002918	0.99708	0.005836	0.026621	False
HGLibB_39104_r2	PSMD11	70081	81257	70081	81257	0.21348	6.2457e+07	1.6453e+07	2.7554	0.99707	0.0029312	0.0058624	0.026686	True
HGLibA_45728_r1	SMIM13	68820	79762	68820	79762	0.21288	5.9867e+07	1.6015e+07	2.7343	0.99687	0.0031255	0.0062511	0.028398	True
HGLibA_17416_r2	FGF7	67606	78387	67606	78387	0.21346	5.8117e+07	1.5597e+07	2.7299	0.99683	0.0031674	0.0063348	0.02872	True
HGLibA_18082_r0	FSD2	36369	29571	36369	29571	-0.29851	2.3105e+07	6.2061e+06	2.7287	0.003179	0.99682	0.006358	0.028766	False
HGLibA_54435_r0	WTIP	83401	95984	83401	95984	0.20274	7.9176e+07	2.1311e+07	2.7259	0.99679	0.0032065	0.0064129	0.028956	True
HGLibA_60878_r0	hsa-mir-4692	1.0315e+05	1.1787e+05	1.0315e+05	1.1787e+05	0.19251	1.0841e+08	2.9232e+07	2.7234	0.99677	0.0032305	0.0064609	0.029113	True
HGLibA_29068_r0	MFN1	94124	80392	94124	80392	-0.22751	9.4286e+07	2.5511e+07	2.7188	0.003276	0.99672	0.006552	0.029464	False
HGLibA_28769_r1	MED19	73278	84675	73278	84675	0.20855	6.4945e+07	1.7581e+07	2.7181	0.99672	0.0032831	0.0065662	0.029468	True
HGLibB_30413_r1	MTOR	26705	32083	26705	32083	0.26469	1.4462e+07	3.9221e+06	2.7156	0.99669	0.0033077	0.0066155	0.02963	True
HGLibB_47574_r0	STX18	6045.5	4264.6	6045.5	4264.6	-0.50336	1.5859e+06	4.3263e+05	2.7076	0.0033882	0.99661	0.0067765	0.03029	False
HGLibA_36885_r2	PLA2G2A	45662	53645	45662	53645	0.23246	3.187e+07	8.7033e+06	2.7062	0.9966	0.0034027	0.0068055	0.030359	True
HGLibA_40744_r1	RDH14	91977	78568	91977	78568	-0.22734	8.9908e+07	2.465e+07	2.7009	0.003458	0.99654	0.0069161	0.03079	False
HGLibB_57989_r0	NonTargetingControlGuideForHuman_0961	12300	9293.9	12300	9293.9	-0.40424	4.5176e+06	1.2405e+06	2.6988	0.0034794	0.99652	0.0069587	0.030918	False
HGLibA_08216_r0	CCT8	15558	11982	15558	11982	-0.37678	6.3941e+06	1.7582e+06	2.697	0.0034987	0.9965	0.0069973	0.031028	False
HGLibB_49137_r2	TFRC	27949	33454	27949	33454	0.25938	1.5154e+07	4.1966e+06	2.6873	0.9964	0.0036011	0.0072022	0.03183	True
HGLibB_41305_r2	RLN3	69081	58297	69081	58297	-0.24486	5.8145e+07	1.6105e+07	2.6871	0.0036034	0.9964	0.0072068	0.03183	False
HGLibB_47409_r0	STK17B	68505	79196	68505	79196	0.2092	5.7142e+07	1.5906e+07	2.6805	0.99632	0.003676	0.007352	0.032407	True
HGLibA_63732_r1	hsa-mir-6887	30399	24557	30399	24557	-0.30788	1.7065e+07	4.7547e+06	2.6792	0.0036896	0.99631	0.0073793	0.032463	False
HGLibA_25176_r2	KLHL3	1.2045e+05	1.3668e+05	1.2045e+05	1.3668e+05	0.18246	1.3184e+08	3.6812e+07	2.6763	0.99628	0.0037218	0.0074436	0.032653	True
HGLibA_30723_r2	MYH3	1.1219e+05	1.2759e+05	1.1219e+05	1.2759e+05	0.18558	1.1858e+08	3.3121e+07	2.6759	0.99627	0.0037259	0.0074518	0.032653	True
HGLibA_62423_r0	hsa-mir-581	54577	45595	54577	45595	-0.2594	4.0334e+07	1.1345e+07	2.6665	0.0038319	0.99617	0.0076638	0.033516	False
HGLibB_20575_r1	GTPBP2	99059	85076	99059	85076	-0.21954	9.7768e+07	2.7525e+07	2.6653	0.0038458	0.99615	0.0076916	0.033572	False
HGLibB_27350_r1	LRRC55	50538	58995	50538	58995	0.22322	3.5761e+07	1.012e+07	2.6585	0.99608	0.0039249	0.0078498	0.034149	True
HGLibA_01232_r1	AGPAT6	93538	80173	93538	80173	-0.22242	8.93e+07	2.5275e+07	2.6583	0.0039273	0.99607	0.0078546	0.034149	False
HGLibB_46881_r2	SRCRB4D	39786	32728	39786	32728	-0.28174	2.4911e+07	7.0922e+06	2.6504	0.0040195	0.99598	0.008039	0.034882	False
HGLibA_54710_r2	YPEL2	1.5296e+05	1.3383e+05	1.5296e+05	1.3383e+05	-0.1927	1.8287e+08	5.2522e+07	2.6389	0.0041589	0.99584	0.0083179	0.036023	False
HGLibA_33196_r1	OARD1	71158	60359	71158	60359	-0.23744	5.8303e+07	1.683e+07	2.6322	0.0042421	0.99576	0.0084842	0.036671	False
HGLibB_00187_r2	ABCC9	19580	23718	19580	23718	0.27662	8.5633e+06	2.4736e+06	2.6313	0.99575	0.0042531	0.0085061	0.036695	True
HGLibB_04064_r0	BACH1	27907	33289	27907	33289	0.25442	1.4485e+07	4.1873e+06	2.6303	0.99573	0.0042658	0.0085315	0.036733	True
HGLibA_49731_r2	TM9SF4	94909	81606	94909	81606	-0.21787	8.849e+07	2.5828e+07	2.6177	0.0044265	0.99557	0.0088531	0.038044	False
HGLibA_47464_r1	STK17B	36918	30327	36918	30327	-0.28371	2.172e+07	6.346e+06	2.6164	0.0044434	0.99556	0.0088868	0.038069	False
HGLibB_41307_r2	RLN3	52675	61257	52675	61257	0.21777	3.683e+07	1.0762e+07	2.6161	0.99555	0.0044465	0.008893	0.038069	True
HGLibB_09786_r0	CLASP2	62840	53069	62840	53069	-0.24381	4.7738e+07	1.3991e+07	2.6123	0.0044964	0.9955	0.0089928	0.038397	False
HGLibA_28768_r2	MED19	33762	39919	33762	39919	0.24167	1.8954e+07	5.5567e+06	2.6119	0.9955	0.0045021	0.0090042	0.038397	True
HGLibB_15767_r2	EXOSC7	8720.4	10973	8720.4	10973	0.3315	2.5378e+06	7.4474e+05	2.6106	0.99548	0.0045193	0.0090387	0.038471	True
HGLibB_15763_r0	EXOSC5	25521	30514	25521	30514	0.25775	1.2463e+07	3.6667e+06	2.6073	0.99544	0.0045634	0.0091269	0.038772	True
HGLibA_19572_r0	GNPNAT1	35336	41681	35336	41681	0.23825	2.013e+07	5.946e+06	2.6021	0.99537	0.0046323	0.0092645	0.039282	True
HGLibA_61826_r1	hsa-mir-544a	1.1496e+05	99718	1.1496e+05	99718	-0.2052	1.1615e+08	3.4346e+07	2.6007	0.0046517	0.99535	0.0093034	0.039372	False
HGLibB_41307_r1	RLN3	43760	51191	43760	51191	0.22629	2.7613e+07	8.1699e+06	2.5999	0.99534	0.0046622	0.0093244	0.039386	True
HGLibB_38052_r2	PPP1R3B	45020	52605	45020	52605	0.22463	2.8766e+07	8.5221e+06	2.5983	0.99532	0.0046848	0.0093696	0.039501	True
HGLibA_57372_r0	hsa-mir-1244-3	77215	65893	77215	65893	-0.22875	6.4091e+07	1.9004e+07	2.5971	0.0047005	0.9953	0.0094009	0.039558	False
HGLibB_33039_r1	NUPL2	40009	33067	40009	33067	-0.2749	2.4091e+07	7.1512e+06	2.5957	0.0047201	0.99528	0.0094402	0.039649	False
HGLibB_04796_r0	BRF1	33343	39403	33343	39403	0.24091	1.8361e+07	5.4546e+06	2.5946	0.99527	0.0047345	0.009469	0.039695	True
HGLibB_04796_r2	BRF1	28414	33791	28414	33791	0.25	1.4453e+07	4.3008e+06	2.5925	0.99524	0.0047642	0.0095285	0.039869	True
HGLibA_03784_r0	ATP8B2	71537	82206	71537	82206	0.20056	5.6917e+07	1.6964e+07	2.5904	0.99521	0.0047928	0.0095856	0.040033	True
HGLibA_03783_r2	ATP8B2	45411	53013	45411	53013	0.22329	2.8893e+07	8.6325e+06	2.5873	0.99516	0.0048367	0.0096735	0.040256	True
HGLibB_51199_r1	TRAF5	1.2831e+05	1.1186e+05	1.2831e+05	1.1186e+05	-0.19798	1.3536e+08	4.0443e+07	2.5872	0.0048376	0.99516	0.0096751	0.040256	False
HGLibA_03262_r2	ASCC3	71348	81978	71348	81978	0.20035	5.649e+07	1.6898e+07	2.5858	0.99514	0.0048583	0.0097166	0.040285	True
HGLibA_21881_r2	HOOK3	48892	40866	48892	40866	-0.25868	3.2205e+07	9.6339e+06	2.5857	0.0048592	0.99514	0.0097183	0.040285	False
HGLibB_40677_r0	RD3L	1.814e+05	1.602e+05	1.814e+05	1.602e+05	-0.17933	2.248e+08	6.7689e+07	2.5772	0.00498	0.99502	0.0099599	0.04121	False
HGLibA_63731_r1	hsa-mir-6887	24174	28898	24174	28898	0.25755	1.1162e+07	3.3828e+06	2.5689	0.9949	0.0051008	0.010202	0.042131	True
HGLibA_02846_r2	ARHGEF3	40030	33166	40030	33166	-0.27136	2.3556e+07	7.1569e+06	2.5657	0.0051485	0.99485	0.010297	0.042446	False
HGLibA_38101_r1	PPP1R3B	60951	70327	60951	70327	0.20642	4.3952e+07	1.337e+07	2.5641	0.99483	0.0051717	0.010343	0.042559	True
HGLibA_27614_r0	LTN1	60823	51475	60823	51475	-0.24075	4.3695e+07	1.3328e+07	2.5606	0.005224	0.99478	0.010448	0.04291	False
HGLibA_53807_r1	VPS52	26898	21802	26898	21802	-0.30306	1.2988e+07	3.9644e+06	2.5597	0.0052376	0.99476	0.010475	0.042942	False
HGLibB_57523_r2	NonTargetingControlGuideForHuman_0495	84396	96314	84396	96314	0.19057	7.102e+07	2.1691e+07	2.559	0.99475	0.0052489	0.010498	0.042956	True
HGLibA_24676_r0	KIAA1009	5631	7226.4	5631	7226.4	0.35984	1.2727e+06	3.8941e+05	2.5567	0.99472	0.0052835	0.010567	0.04316	True
HGLibB_11561_r2	CTAGE4	14847	18113	14847	18113	0.28688	5.335e+06	1.6403e+06	2.5505	0.99462	0.0053784	0.010757	0.043854	True
HGLibA_18964_r2	GFRA1	1.2443e+05	1.4028e+05	1.2443e+05	1.4028e+05	0.17294	1.2556e+08	3.8637e+07	2.5494	0.99461	0.0053948	0.01079	0.043908	True
HGLibA_60880_r2	hsa-mir-4692	39665	46418	39665	46418	0.22682	2.2804e+07	7.0601e+06	2.5417	0.99448	0.0055164	0.011033	0.044816	True
HGLibB_56216_r2	ZNF573	18817	22692	18817	22692	0.27016	7.5091e+06	2.3318e+06	2.5378	0.99442	0.0055772	0.011154	0.045227	True
HGLibA_61824_r2	hsa-mir-544a	24170	28828	24170	28828	0.25426	1.085e+07	3.382e+06	2.5331	0.99435	0.0056537	0.011307	0.045764	True
HGLibA_62428_r0	hsa-mir-582	41855	34857	41855	34857	-0.26395	2.4488e+07	7.6472e+06	2.5307	0.0056921	0.99431	0.011384	0.045991	False
HGLibB_32537_r2	NR1H2	84066	95814	84066	95814	0.18871	6.9005e+07	2.1565e+07	2.5298	0.99429	0.0057067	0.011413	0.046025	True
HGLibB_57080_r2	NonTargetingControlGuideForHuman_0052	2.0045e+05	2.2286e+05	2.0045e+05	2.2286e+05	0.15291	2.5114e+08	7.8526e+07	2.5291	0.99428	0.0057178	0.011436	0.046032	True
HGLibA_31162_r0	NASP	3551.4	2430.8	3551.4	2430.8	-0.54679	6.2792e+05	1.9676e+05	2.5263	0.0057628	0.99424	0.011526	0.046311	False
HGLibA_24944_r0	KIF4A	3874.3	5068.7	3874.3	5068.7	0.38759	7.1328e+05	2.2381e+05	2.5247	0.99421	0.0057903	0.011581	0.046447	True
HGLibA_34397_r0	OR6C65	36007	29773	36007	29773	-0.27424	1.9428e+07	6.1145e+06	2.5209	0.0058536	0.99415	0.011707	0.046871	False
HGLibA_61824_r1	hsa-mir-544a	18158	21901	18158	21901	0.2704	7.0065e+06	2.2116e+06	2.5171	0.99408	0.0059155	0.011831	0.047281	True
HGLibB_23599_r2	IRX2	1.5333e+05	1.7158e+05	1.5333e+05	1.7158e+05	0.16224	1.6653e+08	5.2714e+07	2.5136	0.99403	0.0059746	0.011949	0.047668	True
HGLibA_40107_r1	RAD9A	16732	20244	16732	20244	0.27488	6.1677e+06	1.9587e+06	2.5095	0.99396	0.0060447	0.012089	0.048141	True
HGLibB_57906_r0	NonTargetingControlGuideForHuman_0878	5568.6	7117.7	5568.6	7117.7	0.35405	1.1999e+06	3.8303e+05	2.503	0.99384	0.0061565	0.012313	0.048944	True
HGLibB_37024_r2	PLEKHA4	9112.7	11340	9112.7	11340	0.31543	2.4803e+06	7.9497e+05	2.498	0.99376	0.0062449	0.01249	0.049505	True
HGLibB_43859_r1	SH3BGR	55028	46564	55028	46564	-0.24094	3.5818e+07	1.1485e+07	2.4975	0.0062542	0.99375	0.012508	0.049505	False
HGLibA_02845_r1	ARHGEF3	52813	61021	52813	61021	0.20841	3.3686e+07	1.0804e+07	2.4971	0.99374	0.0062604	0.012521	0.049505	True
HGLibB_28589_r0	MCMBP	26780	21827	26780	21827	-0.29498	1.2262e+07	3.9384e+06	2.4954	0.0062908	0.99371	0.012582	0.049657	False
HGLibB_21854_r1	HOOK3	22044	26326	22044	26326	0.25607	9.1663e+06	2.9498e+06	2.493	0.99367	0.0063339	0.012668	0.049854	True
HGLibA_32579_r1	NR1H2	1.2612e+05	1.1047e+05	1.2612e+05	1.1047e+05	-0.19115	1.2247e+08	3.942e+07	2.4927	0.0063382	0.99366	0.012676	0.049854	False
HGLibB_09612_r2	CHST13	1.6094e+05	1.422e+05	1.6094e+05	1.422e+05	-0.17869	1.7577e+08	5.6653e+07	2.491	0.0063693	0.99363	0.012739	0.050011	False
HGLibB_57305_r2	NonTargetingControlGuideForHuman_0277	2.7961e+05	3.0787e+05	2.7961e+05	3.0787e+05	0.1389	3.9929e+08	1.2885e+08	2.4895	0.9936	0.0063956	0.012791	0.050129	True
HGLibB_22014_r2	HPRT1	78615	89607	78615	89607	0.18881	6.0413e+07	1.9519e+07	2.488	0.99358	0.0064226	0.012845	0.050252	True
HGLibA_56682_r2	ZNF76	55732	64225	55732	64225	0.20462	3.6065e+07	1.1704e+07	2.4825	0.99348	0.006523	0.013046	0.050948	True
HGLibB_30682_r0	MYH3	26294	21440	26294	21440	-0.29442	1.1781e+07	3.8328e+06	2.4794	0.0065799	0.99342	0.01316	0.051302	False
HGLibA_48414_r1	TAS2R46	91720	1.0399e+05	91720	1.0399e+05	0.18109	7.5238e+07	2.4548e+07	2.4759	0.99335	0.0066457	0.013291	0.051725	True
HGLibA_26299_r2	LENG8	17221	20755	17221	20755	0.26923	6.2425e+06	2.0444e+06	2.4712	0.99327	0.0067325	0.013465	0.052309	True
HGLibB_57308_r1	NonTargetingControlGuideForHuman_0280	1.1078e+05	96738	1.1078e+05	96738	-0.19557	9.8622e+07	3.2506e+07	2.4633	0.0068831	0.99312	0.013766	0.053386	False
HGLibA_24942_r0	KIF4A	24912	29543	24912	29543	0.24599	1.0725e+07	3.5373e+06	2.4625	0.9931	0.0068981	0.013796	0.053409	True
HGLibB_57490_r0	NonTargetingControlGuideForHuman_0462	75340	64824	75340	64824	-0.21689	5.5294e+07	1.8322e+07	2.4568	0.0070093	0.99299	0.014019	0.054176	False
HGLibA_25288_r2	KLRC2	1.5519e+05	1.7318e+05	1.5519e+05	1.7318e+05	0.15817	1.6168e+08	5.3668e+07	2.4546	0.99295	0.0070513	0.014103	0.054386	True
HGLibA_20734_r1	H1F0	1.1846e+05	1.3317e+05	1.1846e+05	1.3317e+05	0.16884	1.0815e+08	3.5913e+07	2.4541	0.99294	0.0070609	0.014122	0.054386	True
HGLibB_57511_r1	NonTargetingControlGuideForHuman_0483	53944	45758	53944	45758	-0.23746	3.3512e+07	1.115e+07	2.4517	0.0071085	0.99289	0.014217	0.054658	False
HGLibA_03264_r0	ASCC3	35479	29485	35479	29485	-0.26697	1.7963e+07	5.9818e+06	2.4507	0.0071292	0.99287	0.014258	0.054722	False
HGLibA_48414_r2	TAS2R46	51053	58867	51053	58867	0.20547	3.0532e+07	1.0274e+07	2.438	0.99261	0.0073852	0.01477	0.05659	True
HGLibB_57347_r1	NonTargetingControlGuideForHuman_0319	1.8696e+05	1.6655e+05	1.8696e+05	1.6655e+05	-0.16678	2.0831e+08	7.0799e+07	2.4258	0.0076375	0.99236	0.015275	0.058423	False
HGLibA_63474_r2	hsa-mir-6824	89610	1.014e+05	89610	1.014e+05	0.17831	6.9488e+07	2.3713e+07	2.4209	0.99226	0.0077414	0.015483	0.058995	True
HGLibA_52144_r0	TTC40	3.8921e+05	4.2436e+05	3.8921e+05	4.2436e+05	0.12471	6.175e+08	2.1076e+08	2.4207	0.99225	0.0077452	0.01549	0.058995	True
HGLibB_57608_r0	NonTargetingControlGuideForHuman_0580	2.3994e+05	2.1542e+05	2.3994e+05	2.1542e+05	-0.15551	3.0058e+08	1.0262e+08	2.4204	0.0077521	0.99225	0.015504	0.058995	False
HGLibB_57071_r0	NonTargetingControlGuideForHuman_0043	1.5305e+05	1.7059e+05	1.5305e+05	1.7059e+05	0.15655	1.5386e+08	5.2568e+07	2.4195	0.99223	0.0077712	0.015542	0.05904	True
HGLibB_58016_r2	NonTargetingControlGuideForHuman_0988	43005	49827	43005	49827	0.21242	2.3271e+07	7.9615e+06	2.4178	0.99219	0.007807	0.015614	0.059211	True
HGLibB_13084_r0	DHFR	18177	14581	18177	14581	-0.31794	6.4631e+06	2.215e+06	2.4157	0.0078519	0.99215	0.015704	0.059401	False
HGLibA_03783_r1	ATP8B2	40961	47534	40961	47534	0.21471	2.1603e+07	7.4056e+06	2.4154	0.99214	0.0078587	0.015717	0.059401	True
HGLibA_01232_r2	AGPAT6	90320	1.0215e+05	90320	1.0215e+05	0.17753	6.9943e+07	2.3993e+07	2.4146	0.99212	0.0078763	0.015753	0.059433	True
HGLibA_46936_r2	SRCRB4D	52226	60093	52226	60093	0.20241	3.0939e+07	1.0627e+07	2.4131	0.99209	0.0079088	0.015818	0.059577	True
HGLibB_05187_r2	C11orf82	93950	1.0612e+05	93950	1.0612e+05	0.17566	7.3995e+07	2.5441e+07	2.4118	0.99206	0.0079359	0.015872	0.05968	True
HGLibB_57826_r0	NonTargetingControlGuideForHuman_0798	1.4541e+05	1.2858e+05	1.4541e+05	1.2858e+05	-0.17739	1.4152e+08	4.8712e+07	2.4105	0.0079655	0.99203	0.015931	0.059802	False
HGLibA_30723_r1	MYH3	97087	1.0954e+05	97087	1.0954e+05	0.1741	7.7531e+07	2.6714e+07	2.4092	0.99201	0.0079927	0.015985	0.059905	True
HGLibB_26552_r1	LINGO2	33041	27462	33041	27462	-0.26677	1.5558e+07	5.3813e+06	2.4046	0.008094	0.99191	0.016188	0.060562	False
HGLibB_01859_r2	ANAPC1	21971	26088	21971	26088	0.24777	8.4742e+06	2.9353e+06	2.4029	0.99187	0.0081325	0.016265	0.060619	True
HGLibA_17352_r0	FGD4	20433	16532	20433	16532	-0.30561	7.6079e+06	2.6353e+06	2.4029	0.0081331	0.99187	0.016266	0.060619	False
HGLibA_14774_r2	EIF3D	1781.3	1141.4	1781.3	1141.4	-0.64168	2.0473e+05	70942	2.4024	0.0081431	0.99186	0.016286	0.060619	False
HGLibB_57407_r0	NonTargetingControlGuideForHuman_0379	97661	85192	97661	85192	-0.19706	7.7734e+07	2.6949e+07	2.4019	0.008156	0.99184	0.016312	0.060619	False
HGLibB_27511_r0	LSM7	6151.8	4552.7	6151.8	4552.7	-0.43422	1.2787e+06	4.4396e+05	2.4001	0.0081957	0.9918	0.016391	0.060812	False
HGLibA_57371_r2	hsa-mir-1244-3	6082.6	7665.4	6082.6	7665.4	0.33361	1.2525e+06	4.3657e+05	2.3954	0.9917	0.0083008	0.016602	0.06149	True
HGLibB_04949_r2	BTK	41174	47709	41174	47709	0.21255	2.1358e+07	7.4628e+06	2.3925	0.99163	0.008368	0.016736	0.061884	True
HGLibA_51063_r2	TP53I13	7545.4	9398.6	7545.4	9398.6	0.31682	1.7173e+06	6.0089e+05	2.3908	0.99159	0.0084063	0.016813	0.062064	True
HGLibB_40703_r1	RDM1	28978	33998	28978	33998	0.23047	1.2599e+07	4.4281e+06	2.3855	0.99147	0.0085291	0.017058	0.062853	True
HGLibA_38101_r2	PPP1R3B	43965	50806	43965	50806	0.20863	2.3397e+07	8.2271e+06	2.3849	0.99146	0.0085413	0.017083	0.062853	True
HGLibA_05829_r0	C1orf210	24214	28594	24214	28594	0.23987	9.593e+06	3.3913e+06	2.3785	0.99131	0.0086906	0.017381	0.063845	True
HGLibA_08975_r1	CECR1	1.092e+05	1.2261e+05	1.092e+05	1.2261e+05	0.167	8.9802e+07	3.182e+07	2.3758	0.99124	0.0087558	0.017512	0.064219	True
HGLibB_23069_r0	IL23R	11153	13612	11153	13612	0.28743	3.0234e+06	1.0728e+06	2.3742	0.99121	0.0087945	0.017589	0.064397	True
HGLibB_53741_r1	VPS52	74281	64242	74281	64242	-0.20948	5.0393e+07	1.794e+07	2.3702	0.0088894	0.99111	0.017779	0.064958	False
HGLibA_61072_r2	hsa-mir-4744	18638	22231	18638	22231	0.25432	6.4554e+06	2.2991e+06	2.3697	0.9911	0.0089004	0.017801	0.064958	True
HGLibA_27550_r0	LSM7	43607	36854	43607	36854	-0.24274	2.2802e+07	8.1277e+06	2.3688	0.0089239	0.99108	0.017848	0.065023	False
HGLibB_41047_r2	RGS5	30438	35607	30438	35607	0.22625	1.3356e+07	4.7637e+06	2.368	0.99106	0.0089426	0.017885	0.065053	True
HGLibB_48422_r2	TBC1D15	1.3732e+05	1.5315e+05	1.3732e+05	1.5315e+05	0.1574	1.253e+08	4.4738e+07	2.3667	0.99103	0.0089733	0.017947	0.06517	True
HGLibB_25162_r1	KLHL36	20360	16533	20360	16533	-0.30037	7.3226e+06	2.6213e+06	2.3637	0.0090475	0.99095	0.018095	0.065537	False
HGLibB_57031_r1	NonTargetingControlGuideForHuman_0003	97907	1.102e+05	97907	1.102e+05	0.17063	7.5549e+07	2.705e+07	2.3634	0.99095	0.0090532	0.018106	0.065537	True
HGLibB_43033_r2	SCYL1	56168	64298	56168	64298	0.19501	3.3044e+07	1.184e+07	2.3625	0.99092	0.0090753	0.018151	0.065589	True
HGLibA_63731_r0	hsa-mir-6887	27536	32318	27536	32318	0.23097	1.1429e+07	4.1049e+06	2.3598	0.99086	0.0091425	0.018285	0.065951	True
HGLibA_40918_r1	RFESD	43734	50474	43734	50474	0.2068	2.2718e+07	8.1627e+06	2.3593	0.99085	0.0091549	0.01831	0.065951	True
HGLibB_06955_r2	CACYBP	35776	41578	35776	41578	0.21685	1.6835e+07	6.0563e+06	2.3579	0.99081	0.0091898	0.01838	0.066046	True
HGLibB_40006_r1	RAD17	51487	43883	51487	43883	-0.23054	2.8911e+07	1.0404e+07	2.3575	0.0091991	0.9908	0.018398	0.066046	False
HGLibB_07160_r0	CAPN3	17996	14514	17996	14514	-0.31021	6.062e+06	2.1824e+06	2.357	0.0092126	0.99079	0.018425	0.066046	False
HGLibB_19216_r0	GLE1	6003.6	4463.6	6003.6	4463.6	-0.42754	1.1858e+06	4.2819e+05	2.3534	0.0093005	0.9907	0.018601	0.066569	False
HGLibB_57638_r2	NonTargetingControlGuideForHuman_0610	1.0102e+05	1.1353e+05	1.0102e+05	1.1353e+05	0.16847	7.8285e+07	2.8338e+07	2.3506	0.99063	0.0093728	0.018746	0.066839	True
HGLibA_19076_r1	GIMAP2	41328	34889	41328	34889	-0.24434	2.0731e+07	7.5045e+06	2.3505	0.0093734	0.99063	0.018747	0.066839	False
HGLibA_48880_r0	TDG	58465	66796	58465	66796	0.19218	3.4702e+07	1.2567e+07	2.35	0.99061	0.0093863	0.018773	0.066839	True
HGLibB_51198_r2	TRAF5	45366	52264	45366	52264	0.2042	2.3791e+07	8.6195e+06	2.3495	0.9906	0.0093983	0.018797	0.066839	True
HGLibB_13243_r2	DIRAS3	77309	67072	77309	67072	-0.20491	5.2394e+07	1.9038e+07	2.3461	0.0094866	0.99051	0.018973	0.0673	False
HGLibB_07718_r0	CCDC181	61559	52919	61559	52919	-0.2182	3.7332e+07	1.3569e+07	2.3458	0.0094938	0.99051	0.018988	0.0673	False
HGLibB_23649_r2	ISOC1	1.3892e+05	1.5474e+05	1.3892e+05	1.5474e+05	0.15561	1.2517e+08	4.5517e+07	2.3452	0.99049	0.0095084	0.019017	0.0673	True
HGLibB_03781_r0	ATP8B2	24486	28832	24486	28832	0.23566	9.4405e+06	3.448e+06	2.3401	0.99036	0.0096404	0.019281	0.068125	True
HGLibA_09623_r2	CHST13	1.156e+05	1.0184e+05	1.156e+05	1.0184e+05	-0.18284	9.4671e+07	3.4631e+07	2.3382	0.0096872	0.99031	0.019374	0.068348	False
HGLibB_29888_r0	MRPL22	1.2308e+05	1.3748e+05	1.2308e+05	1.3748e+05	0.15965	1.0372e+08	3.8015e+07	2.336	0.99025	0.0097468	0.019494	0.068659	True
HGLibA_12188_r2	CYP4F2	77018	87175	77018	87175	0.17872	5.1584e+07	1.8932e+07	2.3344	0.99021	0.0097877	0.019575	0.068839	True
HGLibA_10664_r2	COMMD4	1.2818e+05	1.4301e+05	1.2818e+05	1.4301e+05	0.15786	1.0985e+08	4.0383e+07	2.3324	0.99016	0.0098389	0.019678	0.06909	True
HGLibB_20575_r2	GTPBP2	1.2123e+05	1.0708e+05	1.2123e+05	1.0708e+05	-0.17903	1.0008e+08	3.7168e+07	2.3206	0.010154	0.98985	0.020308	0.071191	False
HGLibA_09795_r0	CLASP2	3.1216e+05	3.4075e+05	3.1216e+05	3.4075e+05	0.1264	4.0849e+08	1.5179e+08	2.32	0.98983	0.01017	0.020341	0.071193	True
HGLibA_48414_r0	TAS2R46	32806	27462	32806	27462	-0.25651	1.4278e+07	5.3245e+06	2.3159	0.010283	0.98972	0.020566	0.071867	False
HGLibB_01230_r1	AGPAT6	63696	54956	63696	54956	-0.21294	3.8201e+07	1.4275e+07	2.3135	0.010348	0.98965	0.020697	0.072212	False
